YEAR	month	type	amount
2015	JUN	LOW	382895.778928343
2015	JUL	LOW	389638.804178592
2015	AUG	LOW	393248.898114875
2015	SEP	LOW	387555.911469735
2015	OCT	LOW	392180.648707867
2015	NOV	LOW	391783.680365738
2015	DEC	LOW	NA
2015	JAN	HIGH	385156.531118356
2015	FEB	HIGH	384477.281427912
2015	MAR	HIGH	389923.397061378
2015	APR	HIGH	396776.910444386
2015	MAY	HIGH	398775.651342545
2015	JUN	HIGH	400249.405192137
2015	JUL	HIGH	404583.452783898
2015	AUG	HIGH	396160.762138065
2015	SEP	HIGH	396221.779958341
2015	OCT	HIGH	398143.039605197
2015	NOV	HIGH	399779.623033796
2015	DEC	HIGH	NA
